State,City,Link
Alabama,auburn,"http://auburn.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Alabama,birmingham,"http://bham.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Alabama,dothan,"http://bham.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Alabama,florence  muscle shoals,"http://shoals.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1=
"
Alabama,gadsden-anniston,"http://shoals.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Alabama,huntsville-decatur,"http://huntsville.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Alabama,mobile,"http://mobile.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Alabama,montgomery,"http://montgomery.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Alabama,tuscaloosa,"http://tuscaloosa.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Alaska,anchorage  mat-su,"http://anchorage.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Alaska,fairbanks,"http://fairbanks.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Alaska,kenai peninsula,"http://kenai.craigslist.org/search/cas?query=m4w%3D&sort=date&postedToday=1
"
Alaska,southeast alaska,"http://juneau.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Arizona,flagstaff  sedona,"http://flagstaff.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Arizona,mohave county,"http://flagstaff.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Arizona,phoenix,"http://phoenix.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Arizona,show low,"http://showlow.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Arizona,sierra vista,"http://sierravista.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Arizona,tucson,"http://tucson.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
Arizona,yuma,"http://yuma.craigslist.org/search/cas?query=m4w&sort=date&postedToday=1
"
